#
# Problem instance for: TSP
#
# Created with ProblemGenerator version: 0.1
#
# Java version used: 1.8.0_73
#
# Global seed for randomness: -198465108435
#
#
# Problem Parameters:
# cities: 1000
#
id;x;y
1;9815.99;6830.20
2;3021.45;4173.25
3;4185.60;8340.02
4;7201.43;6169.73
5;8069.81;4958.80
6;6009.31;2321.92
7;4426.62;1526.21
8;2321.12;5966.08
9;5417.70;6815.32
10;9288.97;4426.93
11;9849.02;2111.63
12;7816.00;9155.68
13;5520.66;2761.00
14;6283.82;8710.90
15;7532.17;1469.89
16;9931.36;2881.96
17;1685.81;7189.82
18;2411.23;9585.04
19;6787.85;7529.62
20;8738.74;3554.33
21;869.10;5812.61
22;7101.20;7305.76
23;4128.87;6132.34
24;6809.01;368.75
25;5752.37;1059.33
26;1047.55;2360.96
27;2659.67;7012.45
28;6027.97;9124.15
29;5715.11;1732.58
30;2636.94;8843.72
31;2959.24;6782.37
32;2750.15;6842.82
33;21.10;5544.92
34;1.04;3571.21
35;5026.69;3805.30
36;3985.75;202.35
37;9040.46;5672.93
38;7637.29;206.70
39;3359.67;2338.81
40;9816.38;3287.12
41;1827.12;4960.89
42;9043.30;142.36
43;9736.16;5831.71
44;9734.62;2666.91
45;872.38;3906.66
46;9310.49;4400.85
47;769.73;1757.27
48;3102.92;310.81
49;7354.51;1062.89
50;4122.05;3313.26
51;9808.67;2865.49
52;6427.09;7343.80
53;2705.00;6986.04
54;4100.70;3231.45
55;5249.37;2237.23
56;2639.58;4154.21
57;4811.62;5366.33
58;5951.48;2032.51
59;9834.14;2023.03
60;88.05;4859.60
61;9678.59;7471.18
62;4344.85;7673.05
63;8003.85;8249.47
64;1424.46;6639.03
65;1864.30;8535.12
66;985.51;6551.35
67;875.72;6575.80
68;5089.88;6939.44
69;9516.68;7228.91
70;9812.21;934.97
71;916.51;6383.74
72;4590.57;4063.99
73;2326.82;1840.70
74;9773.77;7211.78
75;881.48;3083.23
76;3260.42;9150.20
77;3220.88;9302.00
78;9126.83;9222.13
79;4089.39;1016.86
80;4705.19;45.64
81;7110.72;5691.41
82;7700.43;3430.03
83;5603.89;1845.95
84;1623.80;89.04
85;2523.63;9348.67
86;6072.81;5191.13
87;6391.60;5800.99
88;8202.04;7304.59
89;4431.33;232.16
90;3105.86;7875.30
91;5027.15;5679.23
92;3773.97;2017.28
93;9098.69;1652.40
94;5782.29;9101.68
95;4015.56;5972.33
96;7946.31;3397.03
97;4272.30;3014.43
98;7791.08;843.90
99;302.25;2006.80
100;9881.18;7939.54
101;529.47;4702.07
102;5806.34;2663.39
103;2040.99;6480.06
104;6932.47;5391.52
105;2107.71;8736.52
106;4905.02;9828.59
107;6190.00;3275.00
108;331.14;128.22
109;8035.15;1342.46
110;7068.66;577.76
111;4006.79;935.67
112;8114.85;8491.10
113;6882.20;6054.20
114;9214.61;9283.33
115;4011.68;687.20
116;7997.08;5093.29
117;954.66;8494.93
118;9702.00;4775.57
119;4490.66;6382.47
120;5371.18;3600.82
121;8248.78;6461.61
122;4757.68;5583.29
123;107.65;6258.55
124;4144.61;9997.38
125;2988.39;1448.58
126;8767.55;6349.58
127;9696.59;8885.57
128;598.74;8840.39
129;8064.52;242.51
130;4878.62;2180.18
131;4803.69;8191.03
132;2969.36;5516.21
133;5197.82;7721.59
134;4856.96;182.50
135;1050.10;4942.07
136;1943.47;2.33
137;1144.01;4491.79
138;9646.99;9952.90
139;6885.24;4568.85
140;9767.43;144.31
141;762.85;5492.92
142;4577.34;7270.27
143;6801.36;3711.57
144;8161.87;4955.31
145;270.66;8207.37
146;5658.73;7753.48
147;8579.30;374.11
148;7738.73;946.04
149;6497.04;1604.35
150;5918.95;9740.73
151;6636.07;5067.03
152;4115.64;6992.86
153;465.80;9452.36
154;3220.43;8148.41
155;6044.33;2822.80
156;8423.03;5751.96
157;6120.61;4132.80
158;3505.74;3567.50
159;4294.21;8465.95
160;2399.23;2127.36
161;7515.60;9587.51
162;5916.17;3355.14
163;367.80;21.15
164;768.89;1800.50
165;291.24;4532.96
166;8728.79;3979.25
167;3196.51;7641.80
168;6100.10;5329.38
169;5755.80;9574.05
170;7557.37;6374.06
171;4071.69;7942.18
172;3835.37;5824.90
173;8392.74;4350.23
174;9762.37;8564.25
175;78.83;6115.79
176;7691.92;712.31
177;114.27;3346.78
178;1515.34;2315.65
179;8125.64;722.72
180;8126.57;585.54
181;7081.47;1504.03
182;6463.03;3070.20
183;1634.29;8529.02
184;9060.44;662.27
185;7411.30;3257.47
186;7436.65;4923.03
187;4468.12;9280.60
188;558.97;2847.49
189;590.62;1141.32
190;5151.34;4899.47
191;9163.25;2794.82
192;7662.29;8913.41
193;1917.85;2588.62
194;341.40;3289.79
195;9035.21;3252.22
196;8061.60;7803.48
197;7792.26;6060.52
198;8276.50;9299.53
199;6231.07;8071.52
200;3816.51;2568.45
201;171.47;137.52
202;7104.16;3773.14
203;297.32;1250.45
204;4808.99;4942.09
205;1017.25;1705.72
206;3963.82;3248.81
207;4333.73;3555.44
208;4128.96;8064.59
209;50.12;1870.55
210;5317.87;2102.34
211;8303.69;4442.78
212;8087.00;361.29
213;1632.93;731.16
214;444.88;2037.76
215;1571.16;3094.25
216;6049.49;6084.66
217;9103.77;4647.91
218;9540.41;682.53
219;9234.67;8449.86
220;7791.35;527.29
221;7378.60;2136.11
222;370.64;3545.31
223;9328.55;620.64
224;8561.93;413.68
225;7143.79;7018.57
226;9924.15;6093.77
227;461.88;8564.26
228;4559.08;2478.72
229;6458.91;9969.94
230;7.27;5210.62
231;1965.30;1406.25
232;4006.96;5740.62
233;8090.22;2085.56
234;8228.12;1785.43
235;1116.10;3289.65
236;1532.76;5476.08
237;3394.93;6607.63
238;8314.84;8700.11
239;4511.87;4135.98
240;6037.67;9405.58
241;6076.79;7441.61
242;6213.17;965.93
243;3163.03;1200.19
244;4757.49;9096.55
245;1633.13;5595.52
246;908.80;7269.82
247;3374.49;8802.57
248;8708.03;2092.23
249;813.77;7175.06
250;1419.80;4687.76
251;7986.87;6120.29
252;7210.80;2774.08
253;7912.12;9067.36
254;3904.28;823.13
255;5047.53;5421.51
256;1694.15;2465.51
257;7208.65;946.06
258;5328.91;127.79
259;3481.66;5624.70
260;1465.28;1784.78
261;3387.25;4730.72
262;2643.20;3663.71
263;7833.86;8566.25
264;6648.34;754.79
265;4244.60;5133.16
266;8905.30;4062.94
267;6650.46;7858.84
268;5984.05;4677.71
269;6512.98;7423.71
270;304.20;9943.83
271;1572.88;2723.74
272;9685.98;6282.17
273;8116.78;1050.13
274;524.00;6541.12
275;6712.37;1679.52
276;49.04;7150.84
277;2683.07;241.96
278;1395.35;1807.98
279;376.46;3470.27
280;5005.21;3936.21
281;4626.45;5233.17
282;1279.42;9747.53
283;3717.33;5115.92
284;2322.10;7372.44
285;5628.61;235.96
286;5129.77;5231.83
287;3372.62;9467.61
288;4639.44;4590.95
289;5832.84;6798.36
290;2677.31;7066.19
291;7668.72;7150.89
292;8038.92;7747.75
293;5573.82;3678.70
294;3683.89;8556.41
295;8457.10;279.50
296;9342.66;4470.19
297;5962.96;6869.47
298;1709.50;7336.92
299;3153.82;7822.63
300;9835.69;8130.95
301;9149.71;5903.63
302;338.72;8717.70
303;4052.65;5008.42
304;5607.58;8457.16
305;1579.05;5076.06
306;8311.51;9307.48
307;4482.02;1646.54
308;7208.73;5482.41
309;6065.51;712.92
310;2503.78;171.49
311;3876.19;6752.66
312;3816.54;2349.44
313;1004.01;8121.91
314;202.94;1281.12
315;6330.91;9357.55
316;9606.75;4971.35
317;7537.92;4356.01
318;4623.91;1513.58
319;9713.83;7883.77
320;2525.30;9059.21
321;8004.51;5423.74
322;110.66;959.39
323;4900.13;2972.63
324;8156.04;7523.71
325;1478.21;9078.54
326;5968.88;4795.23
327;7203.55;1144.25
328;3879.56;3758.86
329;4732.00;6820.28
330;374.84;480.34
331;4573.09;9173.67
332;1018.46;8815.40
333;9437.11;1241.54
334;8305.86;2533.97
335;9625.88;1565.57
336;5164.40;2971.82
337;8921.52;7351.61
338;9937.77;1651.92
339;5086.38;6010.69
340;7382.21;4710.80
341;307.46;9010.92
342;8454.56;7419.76
343;4702.24;4206.53
344;1486.40;2608.79
345;348.24;4108.81
346;8715.53;6380.80
347;4207.17;7925.32
348;5085.40;8146.66
349;5784.77;4617.32
350;725.37;9716.36
351;9401.17;2711.92
352;4588.71;9949.22
353;1541.95;153.98
354;4352.40;7296.40
355;918.29;4094.61
356;6872.50;2461.25
357;2585.51;6186.25
358;4240.20;7358.11
359;7752.39;3691.46
360;2798.79;4568.15
361;7759.24;510.54
362;6358.18;3570.37
363;4111.14;5095.16
364;283.54;6168.78
365;6423.27;4138.53
366;136.12;3741.96
